pid,condition,ranking
1,A,4
1,A,3
1,A,1
1,A,1
1,A,4
1,A,1
1,A,4
1,A,4
1,A,1
1,A,1
1,A,1
1,A,3
1,A,4
1,A,1
1,A,4
1,A,1
1,A,2
1,A,4
1,A,3
1,A,1
1,A,4
1,A,3
1,A,4
1,A,2
1,B,2
1,B,1
1,B,2
1,B,2
1,B,2
1,B,2
1,B,2
1,B,2
1,B,4
1,B,4
1,B,3
1,B,4
1,B,3
1,B,3
1,B,3
1,B,2
1,B,3
1,B,1
1,B,1
1,B,2
1,B,2
1,B,1
1,B,2
1,B,4
1,C,1
1,C,2
1,C,3
1,C,3
1,C,1
1,C,3
1,C,3
1,C,1
1,C,3
1,C,3
1,C,2
1,C,1
1,C,1
1,C,2
1,C,1
1,C,4
1,C,1
1,C,3
1,C,2
1,C,3
1,C,3
1,C,2
1,C,1
1,C,1
1,D,3
1,D,4
1,D,4
1,D,4
1,D,3
1,D,4
1,D,1
1,D,3
1,D,2
1,D,2
1,D,4
1,D,2
1,D,2
1,D,4
1,D,2
1,D,3
1,D,4
1,D,2
1,D,4
1,D,4
1,D,1
1,D,4
1,D,3
1,D,3
