pid,condition,time,cond_order,order
13,no,198.849,none_first,trial1
14,no,201.697,none_first,trial1
15,no,139.272,none_first,trial1
16,no,154.43175,none_first,trial1
17,no,154.43175,none_first,trial1
18,no,170.67681818181816,none_first,trial1
19,no,238.626,none_first,trial1
20,no,154.43175,none_first,trial1
21,no,154.43175,none_first,trial1
22,no,176.573,none_first,trial1
23,no,202.42,none_first,trial1
24,no,102.281,none_first,trial1
1,no,52.2,viz_first,trial2
2,no,105.725,viz_first,trial2
3,no,121.242,viz_first,trial2
4,no,188.917,viz_first,trial2
5,no,85.672,viz_first,trial2
6,no,128.886,viz_first,trial2
7,no,200.265,viz_first,trial2
8,no,106.789,viz_first,trial2
9,no,131.84,viz_first,trial2
10,no,161.278,viz_first,trial2
11,no,95.614,viz_first,trial2
12,no,163.405,viz_first,trial2
1,yes,89.317,viz_first,trial1
2,yes,36.629,viz_first,trial1
3,yes,160.96552173913045,viz_first,trial1
4,yes,307.271,viz_first,trial1
5,yes,152.579,viz_first,trial1
6,yes,251.613,viz_first,trial1
7,yes,212.199,viz_first,trial1
8,yes,58.614,viz_first,trial1
9,yes,281.966,viz_first,trial1
10,yes,308.775,viz_first,trial1
11,yes,113.49,viz_first,trial1
12,yes,181.109,viz_first,trial1
13,yes,149.237,none_first,trial2
14,yes,138.109,none_first,trial2
15,yes,86.046,none_first,trial2
16,yes,140.136,none_first,trial2
17,yes,135.532,none_first,trial2
18,yes,89.552,none_first,trial2
19,yes,99.073,none_first,trial2
20,yes,128.8919090909091,none_first,trial2
21,yes,175.328,none_first,trial2
22,yes,180.001,none_first,trial2
23,yes,133.392,none_first,trial2
24,yes,91.405,none_first,trial2
