pid,cond_order,time_diff,time_diff_order
13,none_first,-49.611999999999995,49.611999999999995
14,none_first,-63.587999999999994,63.587999999999994
15,none_first,-53.225999999999985,53.225999999999985
16,none_first,-341.246,341.246
17,none_first,-224.35599999999997,224.35599999999997
18,none_first,-197.53199999999998,197.53199999999998
19,none_first,-139.553,139.553
20,none_first,-251.15900000000005,251.15900000000005
21,none_first,-204.482,204.482
22,none_first,3.4279999999999973,-3.4279999999999973
23,none_first,-69.02799999999999,69.02799999999999
24,none_first,-10.876000000000005,10.876000000000005
1,viz_first,-37.11699999999999,37.11699999999999
2,viz_first,69.096,-69.096
3,viz_first,-52.08827272727273,52.08827272727273
4,viz_first,-118.35400000000001,118.35400000000001
5,viz_first,-66.90700000000001,66.90700000000001
6,viz_first,-122.727,122.727
7,viz_first,-11.934000000000026,11.934000000000026
8,viz_first,48.175000000000004,-48.175000000000004
9,viz_first,-150.126,150.126
10,viz_first,-147.49699999999999,147.49699999999999
11,viz_first,-17.87599999999999,17.87599999999999
12,viz_first,-17.704000000000008,17.704000000000008
