pid,posture,mt
1,Q1FrontDown,17.43055
1,Q1FrontUp,33.44675
1,Q3FrontDown,8.33165
1,Q3FrontUp,11.549399999999999
2,Q1FrontDown,11.3164
2,Q1FrontUp,40.1571
2,Q3FrontDown,9.66925
2,Q3FrontUp,10.03415
3,Q1FrontDown,96.37845
3,Q1FrontUp,88.58055
3,Q3FrontDown,54.742000000000004
3,Q3FrontUp,75.70385
4,Q1FrontDown,82.4984
4,Q1FrontUp,88.75655
4,Q3FrontDown,59.6853
4,Q3FrontUp,17.1534
5,Q1FrontDown,42.0714
5,Q1FrontUp,36.3819
5,Q3FrontDown,17.063499999999998
5,Q3FrontUp,23.6087
6,Q1FrontDown,111.20335
6,Q1FrontUp,28.067
6,Q3FrontDown,29.4255
6,Q3FrontUp,21.5537
7,Q1FrontDown,57.089349999999996
7,Q1FrontUp,79.4673
7,Q3FrontDown,24.3943
7,Q3FrontUp,45.2811
8,Q1FrontDown,31.492449999999998
8,Q1FrontUp,27.735750000000003
8,Q3FrontDown,14.843699999999998
8,Q3FrontUp,8.62985
9,Q1FrontDown,61.74355
9,Q1FrontUp,28.558750000000003
9,Q3FrontDown,20.84405
9,Q3FrontUp,95.75710000000001
10,Q1FrontDown,94.3229
10,Q1FrontUp,43.62985
10,Q3FrontDown,21.2275
10,Q3FrontUp,75.8464
11,Q1FrontDown,50.61425
11,Q1FrontUp,22.7344
11,Q3FrontDown,14.1479
11,Q3FrontUp,17.05545
12,Q1FrontDown,66.16025
12,Q1FrontUp,62.85995
12,Q3FrontDown,21.55305
12,Q3FrontUp,21.6836
13,Q1FrontDown,100.97605
13,Q1FrontUp,29.04955
13,Q3FrontDown,14.53465
13,Q3FrontUp,29.48285
14,Q1FrontDown,49.9049
14,Q1FrontUp,49.040350000000004
14,Q3FrontDown,37.3365
14,Q3FrontUp,33.621300000000005
15,Q1FrontDown,22.307000000000002
15,Q1FrontUp,30.639049999999997
15,Q3FrontDown,37.22565
15,Q3FrontUp,22.487450000000003
16,Q1FrontDown,91.1128
16,Q1FrontUp,110.59985
16,Q3FrontDown,64.60595
16,Q3FrontUp,44.44045
17,Q1FrontDown,120.78999999999999
17,Q1FrontUp,54.802550000000004
17,Q3FrontDown,33.667649999999995
17,Q3FrontUp,38.4499
18,Q1FrontDown,95.609
18,Q1FrontUp,68.25515
18,Q3FrontDown,16.10425
18,Q3FrontUp,8.34965
19,Q1FrontDown,50.043
19,Q1FrontUp,45.50365
19,Q3FrontDown,20.34285
19,Q3FrontUp,52.9599
20,Q1FrontDown,110.58924999999999
20,Q1FrontUp,138.7366
20,Q3FrontDown,38.108599999999996
20,Q3FrontUp,128.9787
21,Q1FrontDown,51.88115
21,Q1FrontUp,122.84495
21,Q3FrontDown,34.94975
21,Q3FrontUp,67.8933
22,Q1FrontDown,62.916799999999995
22,Q1FrontUp,51.2303
22,Q3FrontDown,37.737700000000004
22,Q3FrontUp,26.40245
23,Q1FrontDown,40.75935
23,Q1FrontUp,24.23625
23,Q3FrontDown,45.26765
23,Q3FrontUp,57.6428
24,Q1FrontDown,32.3091
24,Q1FrontUp,31.1415
24,Q3FrontDown,12.315349999999999
24,Q3FrontUp,21.0772
